Title,PublishedAt,ViewCount,LikeCount,DislikeCount,CommentCount,Duration,URL
'I am embarrassed. I am in shame': Alleged Capitol rioter after sentence,2022-01-05T14:14:54Z,691903,11110,0,8214,10.28,https://www.youtube.com/watch?v=VRaHBMR59J8
Former Russian lawmaker laughs at ‘outdated’ Victory Day parade tank,2023-05-10T01:30:26Z,202575,1971,0,644,4.07,https://www.youtube.com/watch?v=lW60FOC51kY
Senator says Biden needs to reevaluate US-Saudi relations,2022-10-09T17:43:42Z,314263,2820,0,2873,7.03,https://www.youtube.com/watch?v=ijFDPeyGY6M
Pollster reveals how Russians are feeling about their economy,2023-02-25T19:00:19Z,318021,3592,0,1465,6.47,https://www.youtube.com/watch?v=OVNWMYsLYAc
These Russians are turning on Putin and burned an effigy of him,2022-04-09T13:00:34Z,3207071,38795,0,6716,3.93,https://www.youtube.com/watch?v=uq0K5X23cK0
'F*** off': Brian Cox reveals origin of 'Succession' character's catchphrase,2023-03-20T01:00:02Z,47849,828,0,136,8.82,https://www.youtube.com/watch?v=4IeNYYAzrko
'Picking them off': Petraeus explains how Ukrainians are taking out Russian generals,2022-03-21T00:15:08Z,5462971,47348,0,10801,6.88,https://www.youtube.com/watch?v=dt2L14RcWP0
Jan. 6 committee releases video of Capitol tour before insurrection,2022-06-15T17:06:56Z,374355,7135,0,4055,9.73,https://www.youtube.com/watch?v=GuOEPTeP_yk
Great-granddaughter of lynching victim becomes first Black woman justice on MI Supreme Court,2023-01-02T16:27:26Z,532263,12943,0,3447,8.03,https://www.youtube.com/watch?v=rqHF9k3kscU
Racism controversy overshadows Will and Kate's US visit,2022-12-01T18:43:20Z,165118,2088,0,1993,6.43,https://www.youtube.com/watch?v=ZEFjHQg6cl8
January 6 hearing video highlights: Trump's inaction,2022-07-22T05:00:41Z,195156,2309,0,2433,10.47,https://www.youtube.com/watch?v=x3LqWPjMbxc
